month,AR,Customer,Truck,Driver,Hours,start_time,end_time,gps_start,gps_end,Overlap,start_time_difference,end_time_difference,deviation_from_hours,Owner/Operator,Action Taken
1,1,C-41,T-33,D-19,11,1/1/2023 5:00,1/1/2023 16:00,1/1/2023 5:38,1/1/2023 15:24,0,38,-36,-74,Barrett,0
1,2,C-41,T-45,D-71,7,1/1/2023 5:00,1/1/2023 12:00,1/1/2023 5:58,1/1/2023 11:54,0,58,-6,-64,Barrett,0
1,3,C-23,T-45,D-71,4,1/1/2023 12:00,1/1/2023 16:00,1/1/2023 11:46,1/1/2023 16:20,0,-14,20,34,Barrett,0
1,4,C-23,T-34,D-40,10,1/1/2023 7:00,1/1/2023 17:00,1/1/2023 7:21,1/1/2023 16:23,0,21,-37,-58,Barrett,0
1,5,C-23,T-30,D-57,7.5,1/1/2023 17:00,1/2/2023 0:30,1/1/2023 17:14,1/1/2023 23:50,0,14,-40,-54,Barrett,0
1,6,C-41,T-13,D-26,8,1/1/2023 5:00,1/1/2023 13:00,1/1/2023 5:37,1/1/2023 12:53,0,37,-7,-44,Barrett,0
1,7,C-41,T-39,D-65,12,1/1/2023 5:00,1/1/2023 17:00,1/1/2023 5:42,1/1/2023 16:16,0,42,-44,-86,Barrett,0
1,8,C-41,T-37,D-44,10,1/1/2023 6:00,1/1/2023 16:00,1/1/2023 6:12,1/1/2023 16:05,0,12,5,-7,Barrett,0
1,9,C-19,T-14,D-31,5.5,1/1/2023 16:00,1/1/2023 21:30,1/1/2023 16:19,1/1/2023 21:04,0,19,-26,-45,Barrett,0
1,10,C-41,T-14,D-31,7,1/1/2023 9:00,1/1/2023 16:00,1/1/2023 9:45,1/1/2023 16:59,0,45,59,14,Barrett,0
1,11,C-23,T-13,D-26,3.5,1/1/2023 13:00,1/1/2023 16:30,1/1/2023 13:15,1/1/2023 16:12,0,15,-18,-33,Barrett,0
1,12,C-23,T-18,D-4,10.5,1/1/2023 6:30,1/1/2023 17:00,1/1/2023 7:18,1/1/2023 16:21,0,48,-39,-87,Barrett,0
1,13,C-23,T-9,D-53,10,1/1/2023 7:00,1/1/2023 17:00,1/1/2023 7:02,1/1/2023 16:22,0,2,-38,-40,Barrett,0
1,14,C-55,T-31,D-15,16,1/1/2023 7:00,1/1/2023 23:00,1/1/2023 7:44,1/1/2023 22:47,0,44,-13,-57,Barrett,0
1,15,C-41,T-45,D-71,3,1/1/2023 16:00,1/1/2023 19:00,1/1/2023 16:18,1/1/2023 18:40,0,18,-20,-38,Barrett,0
1,16,C-23,T-33,D-19,13.5,1/2/2023 16:00,1/3/2023 5:30,1/2/2023 16:45,1/3/2023 4:53,0,45,-37,-82,Barrett,0
1,17,C-23,T-6,D-47,13,1/2/2023 7:00,1/2/2023 20:00,1/2/2023 8:16,1/2/2023 18:58,0,76,-62,-138,Gilmour,0
1,18,C-41,T-34,D-40,10,1/2/2023 6:00,1/2/2023 16:00,1/2/2023 6:33,1/2/2023 15:33,0,33,-27,-60,Barrett,0
1,19,C-41,T-39,D-65,12,1/2/2023 5:00,1/2/2023 17:00,1/2/2023 5:26,1/2/2023 16:52,0,26,-8,-34,Barrett,0
1,20,C-23,T-38,D-36,11,1/2/2023 5:30,1/2/2023 16:30,1/2/2023 5:29,1/2/2023 16:11,0,-1,-19,-18,Mason,0
